C,time,w,Z,J,J_up,J_down
190.107976011781,2020-06-20T07:00:10.586Z,-0.491936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
192.964979087383,2020-06-20T07:00:10.787Z,-0.411936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
181.175996897267,2020-06-20T07:00:10.985Z,-0.121936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
192.903979378252,2020-06-20T07:00:11.187Z,-0.401936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
190.605978276761,2020-06-20T07:00:11.387Z,-0.171936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
189.657977203875,2020-06-20T07:00:11.586Z,0.0880635484946117,updraft,1,"(-1.78,119]","(-1.57,119]"
196.795981161627,2020-06-20T07:00:11.786Z,-0.0519364515053883,downdraft,1,"(-1.78,119]","(-1.57,119]"
188.847980780156,2020-06-20T07:00:11.988Z,0.108063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
186.075973103085,2020-06-20T07:00:12.186Z,0.128063548494612,updraft,1,"(-1.78,119]","(-1.57,119]"
190.565987432021,2020-06-20T07:00:12.386Z,-0.161936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
190.125976631669,2020-06-20T07:00:12.586Z,-0.0319364515053883,downdraft,1,"(-1.78,119]","(-1.57,119]"
187.560977466133,2020-06-20T07:00:12.785Z,-0.371936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
181.655981638463,2020-06-20T07:00:12.988Z,-0.151936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
180.875976917776,2020-06-20T07:00:13.190Z,-0.0719364515053883,downdraft,1,"(-1.78,119]","(-1.57,119]"
174.943978567631,2020-06-20T07:00:13.384Z,-0.151936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
177.387986025371,2020-06-20T07:00:13.584Z,-0.371936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
176.340966498869,2020-06-20T07:00:13.785Z,-0.401936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
177.867978395969,2020-06-20T07:00:13.983Z,-0.571936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
186.175978825122,2020-06-20T07:00:14.184Z,-0.471936451505388,downdraft,1,"(-1.78,119]","(-1.57,119]"
185.111987131611,2020-06-20T07:00:14.383Z,0.0580635484946117,updraft,1,"(-1.78,119]","(-1.57,119]"
