time,RH,wind_speed,wind_dir,H,LE,air_temperature
2020-06-20T15:00:00Z,50.73325,3.652505,213.1465,54.87325,125.859,295.0935
2020-06-20T16:00:00Z,51.13895,3.638355,209.8425,56.73625,136.622,294.8755
2020-06-20T17:00:00Z,52.43265,3.258435,210.757,23.39525,97.1378,294.546
2020-06-20T18:00:00Z,50.95055,2.95257,209.118,-0.803225,68.87145,295.1255
2020-06-20T19:00:00Z,52.2722,2.06331,221.614,-9.293865,25.0572,294.8455
2020-06-20T20:00:00Z,54.8647,2.193475,233.767,-26.0702,18.06255,294.4895
2020-06-20T21:00:00Z,60.40495,1.86189,238.0505,-24.0021,13.4096,293.2515
2020-06-20T22:00:00Z,64.0319,1.670615,214.66,-11.6459,6.36713,292.1255
2020-06-20T23:00:00Z,69.6862,1.87946,199.9875,-12.459005,12.81615,290.593
2020-06-21T00:00:00Z,78.3844,2.038145,198.7355,-11.072205,12.44386,288.8135
2020-06-21T01:00:00Z,79.52925,2.23866,190.477,-11.71655,16.07865,288.45
2020-06-21T02:00:00Z,81.93135,2.055885,196.7275,-10.59094,16.6626,287.9015
2020-06-21T03:00:00Z,82.41005,1.47308,193.2885,-6.74648,7.905035,287.1205
2020-06-21T04:00:00Z,82.50925,1.570735,179.6905,-5.677,8.0444,286.617
2020-06-21T05:00:00Z,86.2311,1.541995,190.7505,23.2431,31.2029,286
2020-06-21T06:00:00Z,89.6986,1.65911,202.3185,43.5824,52.90695,285.579
2020-06-21T07:00:00Z,84.71,2.273545,206.0235,85.5756,84.7399,286.8685
2020-06-21T08:00:00Z,78.8849,2.633455,197.8195,103.7605,146.7905,288.3605
2020-06-21T09:00:00Z,68.9179,2.53283,199.038,133.7635,187.872,289.9955
2020-06-21T10:00:00Z,59.39845,2.545675,189.1195,173.858,241.4915,291.701
2020-06-21T11:00:00Z,52.6459,1.7259,187.174,152.13,322.219,293.077
2020-06-21T12:00:00Z,50.62465,1.99034,181.936,177.152,350.0615,293.979
2020-06-21T13:00:00Z,44.5814,2.10419,143.9945,136.153,338.02,294.9675
2020-06-21T14:00:00Z,41.3303,2.423635,154.2185,127.2585,390.1725,295.929
2020-06-21T15:00:00Z,40.45595,2.30437,160.033,81.11685,310.437,296.673
2020-06-21T16:00:00Z,39.29985,2.825275,155.2175,23.017275,198.6715,297.1435
2020-06-21T17:00:00Z,38.7808,2.62018,169.9575,-2.889855,124.6745,297.4475
2020-06-21T18:00:00Z,39.3893,1.72276,183.199,-9.15691,81.37715,297.141
2020-06-21T19:00:00Z,38.38415,1.0430325,128.513,0.764919,2.041685,296.903
2020-06-21T20:00:00Z,40.8422,1.143565,120.787,2.971598,-8.56674,296.5045
2020-06-21T21:00:00Z,55.01975,0.6974085,92.96815,-0.05835,0.439956,293.8555
2020-06-21T22:00:00Z,63.64985,0.6962195,85.70055,1.236885,-0.90347965,290.5775
2020-06-21T23:00:00Z,66.5084,0.351035,172.69866,2.971595,-0.91992,289.791
2020-06-22T00:00:00Z,69.78275,1.309205,135.6675,-14.2202,17.8206,289.6025
2020-06-22T01:00:00Z,79.7301,1.692585,124.718,-2.623745,2.138345,288.3835
2020-06-22T02:00:00Z,81.98375,2.042825,156.757,-17.2751355,4.32455,288.968
2020-06-22T03:00:00Z,81.70895,2.246175,216.335,-36.12605,14.65455,289.0785
