q,freq,magnitude,phase,fc,tau
0.05,0.000555555555555555,0.997692918528203,-3.79399743043846,0.00816537180478543,19
0.1,0.000555555555555555,0.999452139756511,-1.79930592932863,0.0167841806131989,9
0.3,0.000555555555555555,0.999952618483872,-0.466648766721087,0.0573781921574029,3
0.05,0.000558450938252119,0.997668892547202,-3.81370768390487,0.00816537180478543,19
0.1,0.000558450938252119,0.999446419080681,-1.80867606561728,0.0167841806131989,9
0.3,0.000558450938252119,0.999952123357538,-0.469080606869166,0.0573781921574029,3
0.05,0.000561361410782409,0.997644617245226,-3.83351967651594,0.00816537180478543,19
0.1,0.000561361410782409,0.9994406387206,-1.81809492172547,0.0167841806131989,9
0.3,0.000561361410782409,0.999951623057625,-0.471525118056489,0.0573781921574029,3
0.05,0.000564287051789944,0.997620090053568,-3.85343392312771,0.00816537180478543,19
0.1,0.000564287051789944,0.999434798054635,-1.82756274977022,0.0167841806131989,9
0.3,0.000564287051789944,0.99995111753008,-0.473982366274135,0.0573781921574029,3
0.05,0.000567227940328109,0.997595308377442,-3.87345094104034,0.00816537180478543,19
0.1,0.000567227940328109,0.999428896454698,-1.83707980315431,0.0167841806131989,9
0.3,0.000567227940328109,0.999950606720292,-0.476452417856378,0.0573781921574029,3
0.05,0.000570184155862289,0.997570269595728,-3.89357125000721,0.00816537180478543,19
0.1,0.000570184155862289,0.999422933286177,-1.84664633657264,0.0167841806131989,9
0.3,0.000570184155862289,0.99995009057307,-0.478935339482462,0.0573781921574029,3
0.05,0.000573155778272018,0.99754497106072,-3.91379537224393,0.00816537180478543,19
0.1,0.000573155778272018,0.999416907907878,-1.85626260601842,0.0167841806131989,9
0.3,0.000573155778272018,0.999949569032656,-0.481431198178393,0.0573781921574029,3
0.05,0.000576142887853137,0.99751941009785,-3.93412383243737,0.00816537180478543,19
0.1,0.000576142887853137,0.999410819671955,-1.86592886878954,0.0167841806131989,9
0.3,0.000576142887853137,0.999949042042704,-0.483940061318729,0.0573781921574029,3
0.05,0.000579145565319965,0.997493584005431,-3.95455715775463,0.00816537180478543,19
0.1,0.000579145565319965,0.999404667923835,-1.87564538349492,0.0167841806131989,9
0.3,0.000579145565319965,0.999948509546281,-0.486461996628387,0.0573781921574029,3
0.05,0.000582163891807478,0.997467490054402,-3.97509587785217,0.00816537180478543,19
0.1,0.000582163891807478,0.999398452002156,-1.8854124100608,0.0167841806131989,9
0.3,0.000582163891807478,0.999947971485859,-0.488997072184458,0.0573781921574029,3
0.05,0.000585197948873504,0.99744112548804,-3.99574052488466,0.00816537180478543,19
0.1,0.000585197948873504,0.999392171238694,-1.89523020973721,0.0167841806131989,9
0.3,0.000585197948873504,0.999947427803311,-0.491545356418025,0.0573781921574029,3
0.05,0.000588247818500922,0.997414487521699,-4.01649163351404,0.00816537180478543,19
0.1,0.000588247818500922,0.99938582495829,-1.90509904510434,0.0167841806131989,9
0.3,0.000588247818500922,0.9999468784399,-0.494106918116003,0.0573781921574029,3
0.05,0.000591313583099884,0.997387573342539,-4.03734974091845,0.00816537180478543,19
0.1,0.000591313583099884,0.999379412478785,-1.91501918007901,0.0167841806131989,9
0.3,0.000591313583099884,0.999946323336279,-0.496681826422972,0.0573781921574029,3
0.05,0.000594395325510034,0.997360380109244,-4.05831538680121,0.00816537180478543,19
0.1,0.000594395325510034,0.99937293311094,-1.92499087992109,0.0167841806131989,9
0.3,0.000594395325510034,0.999945762432477,-0.499270150843037,0.0573781921574029,3
0.05,0.000597493129002753,0.997332904951744,-4.07938911339969,0.00816537180478543,19
0.1,0.000597493129002753,0.99936638615837,-1.93501441124006,0.0167841806131989,9
0.3,0.000597493129002753,0.999945195667901,-0.50187196124168,0.0573781921574029,3
0.05,0.000600607077283407,0.997305144970946,-4.10057146549433,0.00816537180478543,19
0.1,0.000600607077283407,0.999359770917467,-1.94509004200147,0.0167841806131989,9
0.3,0.000600607077283407,0.999944622981322,-0.504487327847635,0.0573781921574029,3
0.05,0.000603737254493607,0.99727709723843,-4.12186299041741,0.00816537180478543,19
0.1,0.000603737254493607,0.999353086677325,-1.95521804153352,0.0167841806131989,9
0.3,0.000603737254493607,0.999944044310873,-0.50711632125477,0.0573781921574029,3
0.05,0.000606883745213483,0.997248758796174,-4.14326423806198,0.00816537180478543,19
0.1,0.000606883745213483,0.999346332719666,-1.96539868053362,0.0167841806131989,9
0.3,0.000606883745213483,0.99994345959404,-0.509759012423968,0.0573781921574029,3
0.05,0.000610046634463973,0.997220126656274,-4.16477576089076,0.00816537180478543,19
0.1,0.000610046634463973,0.999339508318768,-1.97563223107497,0.0167841806131989,9
0.3,0.000610046634463973,0.999942868767658,-0.512415472685032,0.0573781921574029,3
0.05,0.000613226007709115,0.997191197800639,-4.18639811394492,0.00816537180478543,19
